player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Carlos Alcaraz,22.4,2268.4,2178.3,2.0,2214.5,1.0,2137.6,1.0,2296.4,2025-09,2.0,-0.69
Jannik Sinner,24.1,2267.6,2218.2,1.0,2141.1,2.0,2062.2,2.0,2329.6,2025-01,1.0,0.69
Novak Djokovic,38.3,2076.6,2027.4,3.0,1990.8,4.0,1943.6,3.0,2463.2,2016-05,5.0,-0.51
Alexander Zverev,28.5,2046.1,2003.4,4.0,1995.7,3.0,1878.0,5.0,2176.5,2022-01,3.0,0.29
Taylor Fritz,27.9,2034.0,1978.6,5.0,1899.5,10.0,1941.1,4.0,2070.2,2025-09,4.0,0.22
Alex De Minaur,26.6,2011.0,1963.2,6.0,1902.7,9.0,1841.4,9.0,2053.1,2024-06,7.0,-0.15
Ben Shelton,23.0,1976.2,1928.8,9.0,1854.4,14.0,1803.7,10.0,2024.4,2025-08,6.0,0.15
Felix Auger Aliassime,25.2,1975.7,1944.8,7.0,1858.8,13.0,1789.1,12.0,2062.7,2022-10,8.0,0.0
Daniil Medvedev,29.7,1968.5,1934.5,8.0,1899.0,11.0,1863.3,6.0,2201.2,2022-01,12.0,-0.29
Alexander Bublik,28.3,1966.4,1872.5,17.0,1907.2,7.0,1852.2,7.0,1976.5,2025-10,13.0,-0.26
Lorenzo Musetti,23.6,1957.7,1864.2,19.0,1973.3,5.0,1844.9,8.0,2050.5,2025-05,9.0,0.2
Casper Ruud,26.8,1951.1,1882.7,13.0,1947.6,6.0,1698.8,40.0,2071.9,2022-05,10.0,0.18
Jiri Lehecka,23.9,1937.6,1887.7,12.0,1805.6,26.0,1801.3,11.0,1989.9,2025-10,17.0,-0.27
Jack Draper,23.6,1932.4,1890.1,11.0,1816.6,21.0,1753.5,19.0,2103.8,2025-04,11.0,0.24
Joao Fonseca,19.1,1931.9,1910.2,10.0,1810.3,25.0,1707.2,38.0,1992.5,2025-03,24.0,-0.47
Alejandro Davidovich Fokina,26.3,1919.9,1873.1,16.0,1829.2,19.0,1737.7,22.0,1934.8,2025-07,14.0,0.13
Holger Rune,22.4,1906.9,1874.5,15.0,1878.7,12.0,1763.4,17.0,2082.0,2023-05,15.0,0.13
Learner Tien,19.9,1901.6,1866.9,18.0,1603.2,133.0,1693.1,43.0,1928.3,2025-10,38.0,-0.75
Karen Khachanov,29.4,1893.9,1835.9,22.0,1842.9,17.0,1775.1,15.0,2029.5,2018-10,18.0,0.05
Francisco Cerundolo,27.2,1882.0,1840.9,20.0,1849.3,15.0,1663.2,60.0,1961.6,2025-04,21.0,-0.05
Ugo Humbert,27.3,1880.6,1875.7,14.0,1738.1,42.0,1726.4,30.0,2017.7,2024-03,37.0,-0.57
Andrey Rublev,28.0,1875.2,1831.3,23.0,1845.8,16.0,1787.1,13.0,2122.1,2021-04,16.0,0.32
Corentin Moutet,26.5,1873.1,1806.4,31.0,1779.5,29.0,1752.8,20.0,1881.9,2025-10,31.0,-0.3
Arthur Fils,21.1,1872.6,1795.5,33.0,1842.4,18.0,1722.4,31.0,1985.3,2025-04,39.0,-0.49
Stefanos Tsitsipas,27.0,1866.7,1818.2,28.0,1904.8,8.0,1707.4,37.0,2145.1,2021-05,34.0,-0.31
Tommy Paul,28.2,1861.8,1794.0,34.0,1813.9,24.0,1728.3,28.0,2028.8,2025-05,20.0,0.26
Sebastian Korda,25.3,1861.2,1818.5,27.0,1753.7,37.0,1762.8,18.0,2020.7,2023-01,52.0,-0.66
Grigor Dimitrov,34.4,1859.4,1821.7,26.0,1757.5,34.0,1703.9,39.0,2111.5,2014-08,44.0,-0.45
Arthur Rinderknech,30.2,1855.5,1807.7,29.0,1748.0,38.0,1708.0,36.0,1871.8,2025-10,28.0,0.04
Valentin Vacherot,26.9,1855.4,1837.8,21.0,1717.0,57.0,1581.7,112.0,1867.2,2025-10,30.0,0.0
Jakub Mensik,20.1,1853.5,1826.9,24.0,1757.2,35.0,1688.1,44.0,1968.7,2025-04,19.0,0.49
Gael Monfils,39.0,1848.2,1823.1,25.0,1713.0,63.0,1674.2,54.0,2087.1,2016-10,70.0,-0.78
Flavio Cobolli,23.4,1845.7,1764.7,41.0,1814.6,22.0,1735.1,23.0,1895.6,2025-07,22.0,0.41
Tallon Griekspoor,29.3,1843.8,1785.4,35.0,1783.6,28.0,1779.0,14.0,1951.8,2025-06,25.0,0.31
Cameron Norrie,30.1,1835.5,1768.8,39.0,1818.5,20.0,1738.5,21.0,2028.6,2022-08,27.0,0.26
Gabriel Diallo,24.0,1826.0,1750.5,50.0,1739.0,41.0,1718.2,32.0,1889.2,2025-06,41.0,-0.13
Brandon Nakashima,24.2,1825.3,1777.7,36.0,1726.2,51.0,1735.0,24.0,1909.5,2024-09,33.0,0.11
Denis Shapovalov,26.5,1823.5,1807.7,30.0,1727.0,49.0,1657.2,62.0,1983.2,2020-01,23.0,0.5
Hubert Hurkacz,28.3,1820.8,1752.9,47.0,1756.1,36.0,1727.3,29.0,2022.5,2024-06,78.0,-0.69
Matteo Berrettini,29.5,1819.7,1758.5,43.0,1814.3,23.0,1733.1,25.0,2065.7,2022-07,63.0,-0.45
Frances Tiafoe,27.6,1817.9,1774.5,37.0,1774.0,31.0,1709.8,35.0,1974.0,2023-06,29.0,0.35
Tomas Machac,25.0,1817.7,1797.0,32.0,1718.8,54.0,1681.7,49.0,1972.7,2025-04,32.0,0.27
Jenson Brooksby,25.0,1817.6,1762.2,42.0,1735.0,44.0,1716.2,33.0,2005.3,2022-03,51.0,-0.17
Jaume Munar,28.4,1816.6,1769.0,38.0,1736.3,43.0,1643.1,70.0,1830.4,2025-10,36.0,0.2
Alexei Popyrin,26.2,1809.3,1757.6,45.0,1778.7,30.0,1648.8,67.0,1902.2,2024-10,53.0,-0.16
Zizou Bergs,26.4,1800.1,1768.0,40.0,1690.8,78.0,1663.4,59.0,1859.2,2025-03,40.0,0.14
Fabian Marozsan,26.0,1798.6,1747.9,52.0,1739.3,40.0,1600.5,94.0,1867.2,2024-04,49.0,-0.04
Marin Cilic,37.0,1798.2,1749.5,51.0,1715.0,60.0,1770.0,16.0,2100.4,2010-02,79.0,-0.5
Marton Fucsovics,33.6,1798.1,1746.5,53.0,1728.8,47.0,1730.8,26.0,1924.2,2021-03,55.0,-0.12
Arthur Cazaux,23.1,1796.7,1738.1,56.0,1704.7,70.0,1660.6,61.0,1811.9,2025-10,69.0,-0.32
Kamil Majchrzak,29.7,1793.4,1753.8,46.0,1732.0,45.0,1682.3,47.0,1813.1,2025-10,68.0,-0.29
Roberto Bautista Agut,37.3,1790.9,1724.8,63.0,1730.8,46.0,1729.5,27.0,2033.8,2016-02,94.0,-0.59
Giovanni Mpetshi Perricard,22.3,1789.1,1743.8,54.0,1700.0,74.0,1676.8,52.0,1862.8,2024-12,59.0,-0.11
Reilly Opelka,28.1,1784.4,1750.8,49.0,1699.3,75.0,1652.3,64.0,1927.5,2022-04,50.0,0.08
Raphael Collignon,23.7,1782.6,1758.2,44.0,1684.1,81.0,1588.8,103.0,1806.3,2025-10,76.0,-0.32
Jordan Thompson,31.5,1781.9,1742.8,55.0,1609.3,130.0,1713.4,34.0,1891.2,2024-12,106.0,-0.64
Yibing Wu,25.9,1780.1,1752.3,48.0,1634.9,107.0,1576.6,115.0,1882.9,2023-03,181.0,-1.16
Alejandro Tabilo,28.4,1778.4,1725.5,61.0,1728.7,48.0,1687.6,45.0,1895.7,2024-07,89.0,-0.43
Luciano Darderi,23.6,1775.2,1605.9,135.0,1803.1,27.0,1588.7,104.0,1857.0,2024-06,26.0,0.82
